product_id,avg_sentiment,median_sentiment,positive_share,sentiment_review_count
P107306,0.511,0.705,80.6,253
P114902,0.589,0.7988,84.7,1529
P12045,0.649,0.80635,87.9,1684
P122651,0.528,0.66745,82.5,200
P122661,0.608,0.75315,86.8,810
P122718,0.645,0.8124,88.5,1192
P122727,0.536,0.6753,83.7,282
P122762,0.63,0.793,88.9,821
P122767,0.478,0.6588,78.7,169
P122774,0.558,0.7096,84.3,1635
P122782,0.547,0.69255,84.4,270
P122876,0.551,0.6696,86.6,224
P122881,0.539,0.6969,82.7,915
P122882,0.58,0.743,86.2,1373
P122900,0.629,0.7805,88.0,3974
P12295,0.704,0.8591,91.0,1069
P12336,0.681,0.8481,90.2,2409
P12573,0.693,0.8268,91.7,3594
P126301,0.627,0.7906,88.0,4370
P139000,0.616,0.7715000000000001,87.7,2204
P164932,0.666,0.8126,90.6,1981
P173619,0.607,0.7977,85.2,499
P173622,0.698,0.7975000000000001,93.3,60
P173652,0.637,0.78215,89.7,358
P173726,0.581,0.7178,85.9,2820
P174502,0.577,0.7463,84.6,1611
P188306,0.499,0.6778500000000001,80.6,712
P188307,0.542,0.734,83.3,1007
P188309,0.566,0.7543,84.5,1037
P196524,0.59,0.7901,85.0,459
P196542,0.564,0.7363999999999999,85.0,480
P201439,0.579,0.765,86.8,287
P201440,0.485,0.6808,78.3,584
P202935,0.661,0.7462,91.7,36
P203616,0.646,0.8287,88.2,1283
P2043,0.625,0.8021,85.7,384
P2046,0.621,0.75,85.7,91
P205614,0.442,0.6431,72.2,392
P214002,0.636,0.8173,87.8,1027
P217513,0.681,0.8232999999999999,91.2,908
P217931,0.594,0.79015,87.2,164
P217932,0.683,0.84165,91.6,394
P218700,0.64,0.802,88.7,7761
P230538,0.63,0.7506,88.0,1549
P232327,0.48,0.65905,80.3,238
P232902,0.669,0.86085,89.5,220
P232903,0.466,0.6696,77.2,3151
P232906,0.612,0.8176,86.0,705
P232907,0.519,0.7337,79.9,611
P232910,0.611,0.807,85.9,623
P232915,0.647,0.8274999999999999,88.6,2990
P232920,0.504,0.6862999999999999,82.9,70
P244701,0.652,0.7951,90.4,281
P248404,0.643,0.81725,88.6,4728
P248407,0.594,0.7901,85.0,7545
P251529,0.589,0.77485,84.8,564
P254720,0.564,0.7624500000000001,83.9,906
P257537,0.528,0.6697,83.0,905
P266126,0.626,0.7783,87.7,2398
P268700,0.597,0.7704,86.1,446
P269122,0.648,0.8076,89.1,7327
P270543,0.611,0.7774,86.5,223
P270544,0.565,0.74275,84.4,404
P270594,0.813,0.91385,96.1,3438
P270600,0.298,0.5849,63.6,11
P271682,0.459,0.6696,74.7,478
P278317,0.607,0.8033,86.0,2572
P281835,0.52,0.8,78.8,779
P282920,0.502,0.6839,78.7,408
P282935,0.588,0.7799,84.6,221
P283106,0.364,0.5386,70.6,626
P283501,0.633,0.82805,87.0,2022
P294018,0.657,0.8248,87.0,284
P296413,0.648,0.80335,90.9,264
P296415,0.648,0.8047,87.4,239
P297516,0.678,0.8493,90.0,3284
P297517,0.432,0.6166,74.5,1703
P297524,0.662,0.8248,89.2,4525
P297531,0.556,0.7269,82.2,501
P297551,0.592,0.7955,85.1,1000
P302103,0.606,0.77125,86.5,2954
P302900,0.608,0.78485,83.3,138
P306941,0.68,0.85065,88.5,600
P309306,0.673,0.8462,90.6,585
P309308,0.654,0.8582,87.3,5396
P309310,0.704,0.8866499999999999,90.3,950
P309409,0.505,0.7505,73.8,42
P311143,0.574,0.7646999999999999,83.1,508
P34402,0.493,0.6908,79.1,635
P3550,0.517,0.7149,79.5,625
P3617,0.583,0.78815,84.3,1216
P374115,0.51,0.6468,78.3,92
P374841,0.433,0.6249,76.0,383
P375354,0.633,0.7701,88.6,44
