secondary_category,rank,product_name_product,product_id,avg_rating,review_count
Cleansers,1,Soy Hydrating Gentle Face Cleanser,P7880,4.36,8736
Cleansers,2,Green Clean Makeup Removing Cleansing Balm,P417238,4.5,6169
Cleansers,2,Green Clean Makeup Meltaway Cleansing Balm Limited Edition Jumbo,P450271,4.5,6169
Cleansers,3,Superfood Antioxidant Cleanser,P411387,4.21,5864
Cleansers,4,Pure Skin Face Cleanser,P248404,4.37,4729
Eye Care,1,Moisturizing Eye Bomb with Squalane,P422905,4.46,2966
Eye Care,2,Smart Clinical Repair Wrinkle Correcting Eye Cream,P479734,4.24,2017
Eye Care,3,Avocado Fine Line Eye Cream with Retinol,P447791,4.1,1890
Eye Care,4,Advanced Night Repair Eye Gel-Cream,P500701,4.35,1795
Eye Care,5,5 Stars Retinol + Niacinamide Eye Serum,P476414,4.64,1721
High Tech Tools,1,Pearly Girl Vegan Teeth Whitening Pen,P414737,4.18,481
High Tech Tools,2,Gua Sha Facial Lifting Tool,P432823,4.13,304
High Tech Tools,3,DERMAPORE Ultrasonic Pore Extractor & Serum Infuser,P448181,3.62,281
High Tech Tools,4,LUNA fofo,P433453,2.89,241
High Tech Tools,4,Vegan Makeup Remover and Cleansing Brush,P472057,4.37,241
Lip Balms & Treatments,1,Lip Sleeping Mask Intense Hydration with Vitamin C,P420652,4.35,16138
Lip Balms & Treatments,2,Rosebud Salve,P42204,4.64,5200
Lip Balms & Treatments,3,Lip Glowy Balm,P443563,4.39,3742
Lip Balms & Treatments,4,Intense Therapy Lip Balm SPF 25,P12573,4.68,3595
Lip Balms & Treatments,5,Sugar Advanced Lip Balm Intense Hydration Treatment,P302103,4.28,2958
Masks,1,Clear Improvement Active Charcoal Mask to Clear Pores,P297524,4.33,4526
Masks,2,Jet Lag Mask,P429952,4.03,4430
Masks,2,Mini Jet Lag Mask,P480630,4.03,4430
Masks,3,T.L.C. Sukari Babyfacial AHA + BHA Mask,P415777,4.29,2555
Masks,4,Rose Face Mask,P12336,4.19,2411
Mini Size,1,Mini Superfood Antioxidant Cleanser,P441644,4.21,5854
Mini Size,2,Mini Cicapair Tiger Grass Color Correcting Treatment SPF 30,P471546,4.02,5035
Mini Size,3,Mini Daily Microfoliant Exfoliator,P443352,4.7,4600
Mini Size,4,Mini Take The Day Off Cleansing Balm Makeup Remover,P453816,4.53,4376
Mini Size,5,Mini The Water Cream,P454794,4.02,4170
Moisturizers,1,100 percent Pure Argan Oil,P218700,4.5,7763
Moisturizers,2,Ultra Repair Cream Intense Hydration,P248407,4.52,7547
Moisturizers,3,The True Cream Aqua Bomb,P394639,4.48,7294
Moisturizers,4,Protini Polypeptide Firming Refillable Moisturizer,P427421,3.96,6063
Moisturizers,5,Cicapair Tiger Grass Color Correcting Treatment SPF 30,P411540,3.99,5321
Self Tanners,1,Self Tanning Bronzing Face Drops,P431180,3.95,2852
Self Tanners,2,Self-Tanning Water,P431181,3.71,1073
Self Tanners,3,Tan Tonic Glow Drops,P481831,4.67,1053
Self Tanners,4,Even Skin Tone Self-Tanning Body Butter,P469482,3.74,557
Self Tanners,5,Self Tan Classic Bronzing Mousse,P407450,4.26,515
Sunscreen,1,Unseen Sunscreen SPF 40 PA+++,P454380,4.26,3268
Sunscreen,2,Ultimate Sun Protector Lotion SPF 50+ Sunscreen,P456398,4.49,2937
Sunscreen,3,Glowscreen Sunscreen SPF 40 PA+++ with Hyaluronic Acid + Niacinamide,P456218,4.15,2065
Sunscreen,4,Clear Sunscreen Stick SPF 50+,P429242,4.66,1530
Sunscreen,5,Daily UV Defense Invisible Broad Spectrum SPF 36 Sunscreen,P456392,4.54,1464
Treatments,1,Alpha Beta Extra Strength Daily Peel Pads,P269122,4.55,7414
Treatments,2,Niacinamide 10% + Zinc 1% Oil Control Serum,P427417,4.24,5795
Treatments,3,Good Genes All-In-One AHA Lactic Acid Treatment,P309308,4.34,5400
Treatments,4,Salicylic Acid Acne Healing Dots,P421275,4.18,4576
Treatments,5,Hyaluronic Acid 2% + B5 Hydrating Serum,P427419,4.21,3800
Value & Gift Sets,1,Power Couple Advanced Retinol and Lactic Acid Duo,P402718,4.3,1495
Value & Gift Sets,2,"UV Expert Aquagel Defense Sunscreen, Primer & Moisturizer SPF 50 Duo",P470041,4.24,1045
Value & Gift Sets,3,Clearly Corrective Dark Spot Solution Duo,P455611,3.85,913
Value & Gift Sets,4,GLO Brilliant White Smile - At Home Teeth Whitening Device,P281835,4.0,779
Value & Gift Sets,5,Baby Pekee Bar + Juju Bar Travel Duo,P405584,4.34,600
Wellness,1,GOOPGLOW Morning Skin Superpowder,P456211,3.99,1110
Wellness,2,Skin Squad Pre + ProbioticSupplement for Acne-Prone Skin,P443349,4.12,660
Wellness,3,Daily Cleanse Clear Skin and Body Detox Supplement,P386754,4.05,617
Wellness,4,Pure Skin Clarifying Dietary Supplement,P7365,4.07,512
Wellness,5,SuperYou Daily Stress Management,P432049,4.56,510
